travel.time.sum,travel.time.mean,trips,cong,party,ideology,winpct,seniority,chairman,committee,party.leader,state.district,extreme,fourteenth,thirteenth,twelfth,eleventh,democrat,house.majority
8,2.666666667,3,114,200,0.429,69.3185295,8,1,0,0,MO6,0.7940046,1,0,0,0,0,1
0,0,0,110,200,0.664,61.64,4,0,0,0,MO6,1.0290046,0,0,0,0,0,0
65,4.0625,16,113,200,0.754,67.3946617,2,0,0,0,MO7,1.1190046,0,1,0,0,0,1
81,5.0625,16,114,200,0.578,68.7569382,3,0,0,0,MO7,0.9430046,1,0,0,0,0,1
27,4.5,6,112,200,0.754,67.6496264,1,0,0,0,MO7,1.1190046,0,0,1,0,0,1
20,4,5,110,200,0.646,66.75,6,0,0,1,MO7,1.0110046,0,0,0,0,0,0
8,2.666666667,3,111,200,0.659,67.76,7,0,0,0,MO7,1.0240046,0,0,0,1,0,0
22,5.5,4,114,200,0.614,73.2672857,2,0,0,0,MO8,0.9790046,1,0,0,0,0,1
2,2,1,111,200,0.398,71.44,8,0,0,0,MO8,0.7630046,0,0,0,1,0,0
9,9,1,110,200,0.392,71.64,7,0,0,0,MO8,0.7570046,0,0,0,0,0,0
0,0,0,113,200,0.831,67.1398528,1,0,0,0,MO8,1.1960046,0,1,0,0,0,1
0,0,0,112,200,0.404,69.5137848,9,0,0,0,MO8,0.7690046,0,0,1,0,0,1
23,5.75,4,111,200,0.661,49.99,1,0,0,0,MO9,1.0260046,0,0,0,1,0,0
0,0,0,112,200,0.661,100,2,0,0,0,MO9,1.0260046,0,0,1,0,0,0
0,0,0,110,200,0.527,61.45,6,0,0,0,MO9,0.8920046,0,0,0,0,0,1
57,5.181818182,11,113,200,0.618,62.3295129,2,0,0,0,MS1,0.9830046,0,1,0,0,0,1
8,2.666666667,3,112,200,0.618,57.6044004,1,0,0,0,MS1,0.9830046,0,0,1,0,0,1
15,5,3,111,100,0.008,54.47,2,0,0,0,MS1,0.6366525,0,0,0,1,1,1
6,3,2,114,200,0.539,69.9729232,1,0,0,0,MS1,0.9040046,1,0,0,0,0,1
6,3,2,114,200,0.539,70.1281307,3,0,0,0,MS1,0.9040046,1,0,0,0,0,1
0,0,0,110,100,0.008,53.78,1,0,0,0,MS1,0.6366525,0,0,0,0,1,1
70,4.666666667,15,110,100,-0.459,64.27,8,1,0,0,MS2,1.1036525,0,0,0,0,1,1
67,4.466666667,15,113,100,-0.429,68.7133929,11,0,1,0,MS2,1.0736525,0,1,0,0,1,0
41,4.1,10,114,100,-0.519,100,12,0,1,0,MS2,1.1636525,1,0,0,0,1,0
38,4.222222222,9,111,100,-0.449,69.05,9,1,0,0,MS2,1.0936525,0,0,0,1,1,1
36,5.142857143,7,112,100,-0.439,62.3277258,10,0,1,0,MS2,1.0836525,0,0,1,0,1,0
45,5.625,8,111,200,0.517,62.54,1,0,0,0,MS3,0.8820046,0,0,0,1,0,0
38,4.75,8,114,200,0.38,71.154276,4,0,0,0,MS3,0.7450046,1,0,0,0,0,1
14,4.666666667,3,113,200,0.517,80.0561406,3,0,0,0,MS3,0.8820046,0,1,0,0,0,1
14,7,2,112,200,0.517,68.6209943,2,0,0,0,MS3,0.8820046,0,0,1,0,0,1
4,4,1,110,200,0.482,77.67,6,0,0,0,MS3,0.8470046,0,0,0,0,0,0
4,2,2,111,100,-0.163,74.54,11,0,0,0,MS4,0.8076525,0,0,0,1,1,1
6,3,2,110,100,-0.139,79.79,10,0,0,0,MS4,0.7836525,0,0,0,0,1,1
10,10,1,112,200,0.644,52.453975,1,0,0,0,MS4,1.0090046,0,0,1,0,0,1
9,9,1,113,200,0.644,69.2594676,2,0,0,0,MS4,1.0090046,0,1,0,0,0,1
2,2,1,114,200,0.5,74.1764124,3,0,0,0,MS4,0.8650046,1,0,0,0,0,1
20,5,4,114,200,0.409,57.825738,1,0,0,0,MT0,0.7740046,1,0,0,0,0,1
41,6.833333333,6,111,200,0.5,64.14,5,0,0,0,MT1,0.8650046,0,0,0,1,0,0
14,4.666666667,3,113,200,0.717,55.3629602,1,0,0,0,MT1,1.0820046,0,1,0,0,0,1
11,5.5,2,110,200,0.504,58.88,4,0,0,0,MT1,0.8690046,0,0,0,0,0,0
3,3,1,112,200,0.497,64.1684391,6,0,0,0,MT1,0.8620046,0,0,1,0,0,1
